响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2017/03/31 12:36:21,华东.居巢厂 安徽.居巢厂/20kV.居巢厂#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.居巢厂 安徽.居巢厂/20kV.居巢厂#2机,49.967,-0.125,-0.093,405.6,418.5,13.0,22.2,58.2,191.11,160.43,119.1,88.7,11.5,9.6,4.1,0.00,0.033,4.63,4.9,42.73,57.82,73.90,93.14,94.62,98.44,143.15,128.75,111.19,191.11,160.43,119.12,RTU
2017/03/31 12:36:21,华东.洛河厂 安徽.洛河厂/18.0kV.洛河厂#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.洛河厂 安徽.洛河厂/18.0kV.洛河厂#2机,49.967,-0.125,-0.093,194.0,203.5,9.5,11.9,80.1,116.32,85.56,135.9,108.0,7.0,5.1,3.4,0.00,0.033,21.74,4.8,26.50,30.84,85.94,53.19,50.46,105.40,84.10,68.66,122.48,116.32,85.56,135.95,PMU
2017/03/31 12:36:21,华东.洛河厂 安徽.洛河厂/20kV.洛河厂#3机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.洛河厂 安徽.洛河厂/20kV.洛河厂#4机,49.967,-0.125,-0.093,203.1,209.8,6.7,11.1,60.6,76.57,80.21,95.4,78.0,4.6,4.8,4.3,0.00,0.033,2.25,10.7,10.50,28.91,36.33,27.89,47.31,58.95,50.23,64.38,78.03,76.57,80.21,95.45,PMU
2017/03/31 12:36:21,华东.洛河厂 华东.洛河厂/20kV.5号机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.洛河厂 华东.洛河厂/20kV.6号机,49.967,-0.125,-0.093,561.3,571.0,9.7,23.4,41.4,107.25,168.46,63.7,52.5,6.4,10.1,6.2,0.00,0.033,6.40,15.9,16.54,60.71,27.25,46.74,99.35,47.05,77.68,135.19,57.46,107.25,168.46,63.66,PMU
2017/03/31 12:36:21,华东.平圩厂 安徽.平圩厂/20kV.平圩厂#1机,49.967,-0.125,-0.093,460.6,473.5,12.9,23.4,55.3,167.36,168.45,99.3,77.3,10.0,10.1,5.1,0.00,0.033,17.09,4.4,46.42,60.71,76.46,88.32,99.35,88.90,127.64,135.18,94.42,167.36,168.45,99.35,PMU
2017/03/31 12:36:21,华东.平圩厂 安徽.平圩厂/20kV.平圩厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
